ID TIME DONE
# Manager.Done #1
142 21.8194 0.0
142 22.4379 1.0
142 22.4379 1.0
142 1001.12 1.0
# Manager.Done #143
143 0.0 0.0
143 13.4382 0.0
143 13.4382 0.0
143 13.4382 1.0
143 13.4382 1.0
143 1000.12 1.0
# Manager.Done #144
144 0.0 0.0
144 28.548 0.0
144 28.548 0.0
144 29.0421 1.0
144 29.0421 1.0
144 1000.79 1.0
# Manager.Done #145
145 0.0 0.0
145 72.5526 0.0
145 72.5526 0.0
145 73.2783 1.0
145 73.2783 1.0
145 1000.15 1.0
# Manager.Done #146
146 0.0 0.0
146 29.0363 0.0
146 29.0363 0.0
146 29.2211 1.0
146 29.2211 1.0
146 1000.0 1.0
# Manager.Done #147
147 0.0 0.0
147 25.5025 0.0
147 25.5025 0.0
147 25.9172 1.0
147 25.9172 1.0
147 1000.13 1.0
# Manager.Done #148
148 0.0 0.0
148 38.6384 0.0
148 38.6384 0.0
148 39.399 1.0
148 39.399 1.0
148 1000.12 1.0
# Manager.Done #149
149 0.0 0.0
149 7.39501 0.0
149 7.39501 0.0
149 8.12694 1.0
149 8.12694 1.0
149 1001.54 1.0
# Manager.Done #150
150 0.0 0.0
150 20.0288 0.0
150 20.0288 0.0
150 20.3866 1.0
150 20.3866 1.0
150 1000.93 1.0
# Manager.Done #151
151 0.0 0.0
151 25.5954 0.0
151 25.5954 0.0
151 26.2839 1.0
151 26.2839 1.0
151 1000.32 1.0
# Manager.Done #152
152 0.0 0.0
152 38.862 0.0
152 38.862 0.0
152 39.0382 1.0
152 39.0382 1.0
152 1000.12 1.0
# Manager.Done #153
153 0.0 0.0
153 10.1305 0.0
153 10.1305 0.0
153 10.8829 1.0
153 10.8829 1.0
153 1000.41 1.0
# Manager.Done #154
154 0.0 0.0
154 4.78739 0.0
154 4.78739 0.0
154 5.45695 1.0
154 5.45695 1.0
154 1000.06 1.0
# Manager.Done #155
155 0.0 0.0
155 12.9466 0.0
155 12.9466 0.0
155 13.593 1.0
155 13.593 1.0
155 1000.03 1.0
# Manager.Done #156
156 0.0 0.0
156 15.3331 0.0
156 15.3331 0.0
156 16.0495 1.0
156 16.0495 1.0
156 1000.43 1.0
# Manager.Done #157
157 0.0 0.0
157 12.888 0.0
157 12.888 0.0
157 13.1582 1.0
157 13.1582 1.0
157 1000.01 1.0
# Manager.Done #158
158 0.0 0.0
158 8.27557 0.0
158 8.27557 0.0
158 8.70016 1.0
158 8.70016 1.0
158 1000.08 1.0
# Manager.Done #159
159 0.0 0.0
159 9.73025 0.0
159 9.73025 0.0
159 9.73025 1.0
159 9.73025 1.0
159 1000.1 1.0
# Manager.Done #160
160 0.0 0.0
160 6.50703 0.0
160 6.50703 0.0
160 6.98994 1.0
160 6.98994 1.0
160 1000.13 1.0
# Manager.Done #161
161 0.0 0.0
161 3.1018 0.0
161 3.1018 0.0
161 3.81334 1.0
161 3.81334 1.0
161 1001.04 1.0
# Manager.Done #162
162 0.0 0.0
162 10.8319 0.0
162 10.8319 0.0
162 11.1029 1.0
162 11.1029 1.0
162 1000.59 1.0
# Manager.Done #163
163 0.0 0.0
163 38.6145 0.0
163 38.6145 0.0
163 38.8978 1.0
163 38.8978 1.0
163 1000.59 1.0
# Manager.Done #164
164 0.0 0.0
164 26.103 0.0
164 26.103 0.0
164 26.8493 1.0
164 26.8493 1.0
164 1000.08 1.0
# Manager.Done #165
165 0.0 0.0
165 5.14017 0.0
165 5.14017 0.0
165 5.9098 1.0
165 5.9098 1.0
165 1000.24 1.0
# Manager.Done #166
166 0.0 0.0
166 18.3742 0.0
166 18.3742 0.0
166 19.1041 1.0
166 19.1041 1.0
166 1000.8 1.0
# Manager.Done #167
167 0.0 0.0
167 15.4521 0.0
167 15.4521 0.0
167 16.1449 1.0
167 16.1449 1.0
167 1000.19 1.0
# Manager.Done #168
168 0.0 0.0
168 10.9185 0.0
168 10.9185 0.0
168 10.9185 1.0
168 10.9185 1.0
168 1000.12 1.0
# Manager.Done #169
169 0.0 0.0
169 6.47433 0.0
169 6.47433 0.0
169 6.70841 1.0
169 6.70841 1.0
169 1000.02 1.0
# Manager.Done #170
170 0.0 0.0
170 5.57001 0.0
170 5.57001 0.0
170 6.14957 1.0
170 6.14957 1.0
170 1001.07 1.0
# Manager.Done #171
171 0.0 0.0
171 17.1022 0.0
171 17.1022 0.0
171 17.2591 1.0
171 17.2591 1.0
171 1000.85 1.0
# Manager.Done #172
172 0.0 0.0
172 21.6229 0.0
172 21.6229 0.0
172 22.1054 1.0
172 22.1054 1.0
172 1000.12 1.0
# Manager.Done #173
173 0.0 0.0
173 14.4962 0.0
173 14.4962 0.0
173 15.1436 1.0
173 15.1436 1.0
173 1000.03 1.0
# Manager.Done #174
174 0.0 0.0
174 20.7283 0.0
174 20.7283 0.0
174 21.0984 1.0
174 21.0984 1.0
174 1000.11 1.0
# Manager.Done #175
175 0.0 0.0
175 22.6977 0.0
175 22.6977 0.0
175 23.4233 1.0
175 23.4233 1.0
175 1000.0 1.0
# Manager.Done #176
176 0.0 0.0
176 41.4317 0.0
176 41.4317 0.0
176 41.9801 1.0
176 41.9801 1.0
176 1000.15 1.0
# Manager.Done #177
177 0.0 0.0
177 16.4417 0.0
177 16.4417 0.0
177 16.7245 1.0
177 16.7245 1.0
177 1000.32 1.0
# Manager.Done #178
178 0.0 0.0
178 25.4955 0.0
178 25.4955 0.0
178 25.7828 1.0
178 25.7828 1.0
178 1000.56 1.0
# Manager.Done #179
179 0.0 0.0
179 11.3414 0.0
179 11.3414 0.0
179 12.0954 1.0
179 12.0954 1.0
179 1000.37 1.0
# Manager.Done #180
180 0.0 0.0
180 16.9644 0.0
180 16.9644 0.0
180 17.2748 1.0
180 17.2748 1.0
